url_length,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_asterisk,n_hastag,n_percent,dots_per_length,hyphens_per_length,is_long_url,has_many_dots,has_ssl,is_cloudflare_protected,special_char_density,suspicious_tld_risk,has_redirects,risk_score,url_complexity,phishing
84,0,0,0,0,0,0,0,0,0,0.023529411764705882,0.023529411764705882,1,0,0,0,0.023529411764705882,1,0,2.235294117647059,2.44,1
29,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.0,0,0,0,0,0.0,0,0,0.0,1.29,1
98,0,0,0,0,0,0,0,0,0,0.020202020202020204,0.020202020202020204,1,0,1,0,0.020202020202020204,1,1,3.2020202020202024,2.58,1
15,0,0,0,0,0,0,0,0,0,0.0625,0.0,0,0,1,0,0.0,0,0,-2.0,0.65,0
65,0,0,0,0,0,0,0,0,0,0.030303030303030304,0.0,0,0,1,1,0.06060606060606061,0,1,-0.39393939393939403,1.65,0
131,0,1,1,0,0,0,0,0,0,0.015151515151515152,0.007575757575757576,1,0,0,0,0.045454545454545456,0,1,5.454545454545455,4.01,1
50,0,0,0,0,0,0,0,0,0,0.0392156862745098,0.0196078431372549,0,0,1,0,0.0196078431372549,1,0,-1.803921568627451,1.8,0
51,0,0,0,0,0,0,0,0,0,0.038461538461538464,0.0,0,0,0,0,0.0,1,1,3.0,1.51,1
45,0,0,0,0,0,0,0,0,0,0.06521739130434782,0.0,0,0,1,0,0.0,0,0,-2.0,1.95,0
159,0,1,2,0,1,0,0,0,0,0.0125,0.0,1,0,0,1,0.0125,0,1,3.125,4.6899999999999995,1
44,0,0,0,0,0,0,0,0,0,0.044444444444444446,0.022222222222222223,0,0,0,0,0.022222222222222223,2,0,0.22222222222222224,1.74,1
103,0,1,1,1,0,0,0,0,0,0.028846153846153848,0.009615384615384616,1,0,1,0,0.028846153846153848,0,0,0.2884615384615383,6.23,1
46,0,0,0,0,0,0,0,0,0,0.0851063829787234,0.0,0,0,1,0,0.0,0,0,-2.0,2.46,1
45,0,0,0,0,0,0,0,0,0,0.043478260869565216,0.0,0,0,1,1,0.021739130434782608,1,0,-3.782608695652174,1.45,0
51,0,0,0,0,0,0,0,0,0,0.057692307692307696,0.0,0,0,0,0,0.0,2,1,3.0,2.01,1
38,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,0,0,0,0.0,1,1,3.0,1.88,1
81,0,0,0,0,0,0,0,0,0,0.024390243902439025,0.0,1,0,0,1,0.0,1,1,3.0,1.81,1
112,0,0,0,0,0,0,0,0,0,0.017699115044247787,0.08849557522123894,1,0,1,1,0.08849557522123894,0,1,1.8849557522123899,5.12,0
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,0,0,0.0,2,1,3.0,1.3900000000000001,1
99,0,0,0,0,0,0,0,0,0,0.02,0.02,1,0,0,0,0.04,1,0,2.4,2.59,1
45,0,0,0,0,0,0,0,0,0,0.043478260869565216,0.021739130434782608,0,0,1,0,0.021739130434782608,0,1,1.2173913043478262,1.75,0
60,0,0,0,0,0,0,0,0,0,0.08196721311475409,0.01639344262295082,0,1,0,0,0.01639344262295082,2,0,1.6639344262295082,3.4,1
74,0,0,0,0,0,0,0,0,0,0.04,0.0,0,0,1,1,0.04,1,1,-0.6000000000000001,2.24,0
61,0,0,0,0,0,0,0,0,0,0.04838709677419355,0.04838709677419355,0,0,1,0,0.04838709677419355,0,1,1.4838709677419355,3.01,0
40,0,0,0,0,0,0,0,0,0,0.0975609756097561,0.0,0,0,1,0,0.0,1,0,-2.0,2.4,1
52,0,0,0,0,0,0,0,0,0,0.05660377358490566,0.0,0,0,1,0,0.0,2,0,-2.0,2.02,1
88,0,0,0,1,0,0,0,0,0,0.07865168539325842,0.011235955056179775,1,1,0,0,0.02247191011235955,2,1,6.724719101123595,6.68,1
74,0,1,1,0,0,0,0,0,1,0.02666666666666667,0.0,0,0,1,0,0.02666666666666667,0,1,1.2666666666666666,3.1399999999999997,0
46,0,0,0,0,0,0,0,0,0,0.0425531914893617,0.02127659574468085,0,0,1,1,0.0425531914893617,0,1,-0.5744680851063828,1.76,0
54,0,0,0,0,0,0,0,0,0,0.05454545454545454,0.0,0,0,1,0,0.0,1,1,1.0,2.04,0
54,0,0,0,0,0,0,0,0,0,0.01818181818181818,0.01818181818181818,0,0,0,0,0.01818181818181818,1,1,3.1818181818181817,1.34,1
38,0,0,0,0,0,0,0,0,0,0.05128205128205128,0.0,0,0,1,0,0.02564102564102564,0,0,-1.7435897435897436,1.38,0
67,0,0,0,0,0,0,0,0,0,0.029411764705882353,0.04411764705882353,0,0,1,0,0.04411764705882353,0,0,-1.5588235294117647,2.57,0
62,0,0,0,0,0,0,0,0,0,0.07936507936507936,0.015873015873015872,0,1,1,0,0.015873015873015872,1,0,-0.3412698412698414,3.42,1
59,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,0,0,0.0,0,0,0.0,2.09,1
57,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.0,0,0,0,0,0.0,2,0,0.0,2.5700000000000003,1
32,0,0,0,0,0,0,0,0,0,0.030303030303030304,0.030303030303030304,0,0,1,0,0.030303030303030304,1,1,1.3030303030303032,1.12,0
46,0,0,0,0,0,0,0,0,0,0.0425531914893617,0.0,0,0,1,0,0.0,1,0,-2.0,1.46,1
37,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0,0,1,0,0.0,0,0,-2.0,1.37,0
36,0,0,0,0,0,0,0,0,0,0.05405405405405406,0.0,0,0,0,0,0.0,2,1,3.0,1.3599999999999999,1
52,0,0,0,0,0,0,0,0,0,0.03773584905660377,0.0,0,0,0,0,0.0,2,1,3.0,1.52,1
32,0,0,0,0,0,0,0,0,0,0.06060606060606061,0.0,0,0,1,0,0.0,0,1,1.0,1.32,1
34,0,0,0,0,0,0,0,0,0,0.02857142857142857,0.0,0,0,1,1,0.0,0,0,-4.0,0.8400000000000001,0
27,0,0,0,0,0,0,0,0,0,0.10714285714285714,0.0,0,0,1,0,0.0,1,0,-2.0,1.77,0
92,0,0,0,0,0,0,0,0,0,0.021505376344086023,0.010752688172043012,1,0,0,0,0.010752688172043012,1,0,2.10752688172043,2.2199999999999998,1
102,0,0,0,0,0,0,0,0,0,0.019417475728155338,0.06796116504854369,1,0,1,0,0.06796116504854369,0,1,3.6796116504854366,4.12,0
32,0,0,0,0,0,0,0,0,0,0.06060606060606061,0.0,0,0,1,0,0.0,0,0,-2.0,1.32,0
29,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.0,0,0,1,1,0.0,0,0,-4.0,1.29,0
119,0,1,0,0,0,0,0,0,0,0.03333333333333333,0.008333333333333333,1,0,1,0,0.025,0,0,0.25,4.1899999999999995,1
59,0,0,0,0,0,0,0,0,0,0.03333333333333333,0.0,0,0,1,0,0.0,0,1,1.0,1.5899999999999999,0
54,0,0,0,0,0,0,0,0,0,0.03636363636363636,0.03636363636363636,0,0,1,1,0.03636363636363636,0,1,-0.6363636363636362,2.14,0
151,0,0,0,1,0,0,0,0,0,0.019736842105263157,0.006578947368421052,1,0,1,0,0.013157894736842105,0,0,0.13157894736842124,5.31,1
84,0,0,0,0,0,0,0,0,0,0.03529411764705882,0.058823529411764705,1,0,1,1,0.058823529411764705,1,1,1.5882352941176467,3.84,0
55,0,0,0,0,0,0,0,0,0,0.05357142857142857,0.017857142857142856,0,0,1,0,0.017857142857142856,0,1,1.1785714285714284,2.3499999999999996,1
18,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0,0,1,1,0.0,0,0,-4.0,0.6799999999999999,0
39,0,0,0,0,0,0,0,0,0,0.05,0.0,0,0,1,0,0.0,0,0,-2.0,1.3900000000000001,0
28,0,0,0,0,0,0,0,0,0,0.06896551724137931,0.034482758620689655,0,0,1,0,0.034482758620689655,0,0,-1.6551724137931034,1.58,0
32,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.030303030303030304,0,0,1,0,0.030303030303030304,1,1,1.3030303030303032,2.12,0
16,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.0,0,0,1,1,0.0,0,0,-4.0,0.66,0
23,0,0,0,0,0,0,0,0,0,0.041666666666666664,0.0,0,0,0,0,0.0,2,0,0.0,0.73,1
29,0,0,0,0,0,0,0,0,0,0.1,0.0,0,0,1,1,0.0,0,1,-1.0,1.79,0
29,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.0,0,0,0,0,0.0,2,0,0.0,1.29,1
41,0,0,0,0,0,0,0,0,0,0.047619047619047616,0.0,0,0,1,1,0.0,0,0,-4.0,1.4100000000000001,0
22,0,0,0,0,0,0,0,0,0,0.043478260869565216,0.0,0,0,0,0,0.0,0,1,3.0,0.72,1
52,0,0,0,0,0,0,0,0,1,0.05660377358490566,0.0,0,0,0,0,0.018867924528301886,0,0,0.18867924528301885,2.02,1
38,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,0,0,0,0.0,1,0,0.0,1.88,1
30,0,0,0,0,0,0,0,0,0,0.0967741935483871,0.0,0,0,1,0,0.0,1,1,1.0,1.8,0
76,0,0,0,0,0,0,0,0,0,0.05194805194805195,0.012987012987012988,1,0,1,0,0.012987012987012988,1,1,3.1298701298701292,3.0599999999999996,1
430,0,2,10,1,9,0,0,0,0,0.05568445475638051,0.0,1,1,1,0,0.06728538283062645,1,1,5.172853828306264,26.7,1
37,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0,0,1,0,0.0,0,1,1.0,1.37,0
73,0,0,0,0,0,0,0,0,0,0.04054054054054054,0.06756756756756757,0,0,1,0,0.06756756756756757,0,1,1.6756756756756754,3.73,0
56,0,0,0,0,0,0,0,0,3,0.03508771929824561,0.0,0,0,0,0,0.05263157894736842,0,0,0.5263157894736842,1.56,1
70,0,0,0,0,0,0,0,0,0,0.014084507042253521,0.09859154929577464,0,0,1,1,0.09859154929577464,1,0,-3.0140845070422535,3.3000000000000003,0
70,0,0,0,0,0,0,0,0,0,0.04225352112676056,0.0,0,0,0,0,0.014084507042253521,1,0,0.14084507042253522,2.2,1
52,0,0,0,0,0,0,0,0,0,0.03773584905660377,0.018867924528301886,0,0,1,0,0.018867924528301886,0,1,1.1886792452830188,1.82,0
31,0,0,0,0,0,0,0,0,0,0.0625,0.03125,0,0,1,0,0.03125,1,0,-1.6875,1.61,0
